iter	Passed	Remaining
544	76100	63533
545	76265	63414
546	76386	63259
547	76510	63107
548	76651	62968
549	76790	62828
550	76933	62691
551	77068	62548
552	77198	62401
553	77351	62271
554	77517	62153
555	77663	62018
556	77787	61867
557	77931	61730
558	78074	61593
559	78187	61433
560	78339	61303
561	78483	61166
562	78632	61034
563	78774	60896
564	78908	60752
565	79059	60621
566	79184	60470
567	79325	60332
568	79447	60179
569	79557	60016
570	79715	59891
571	79833	59735
572	79982	59602
573	80111	59455
574	80257	59320
575	80417	59196
576	80526	59034
577	80677	58903
578	80832	58774
579	80968	58632
580	81092	58481
581	81238	58346
582	81360	58194
583	81483	58042
584	81614	57897
585	81743	57750
586	81877	57606
587	82001	57456
588	82107	57293
589	82232	57144
590	82354	56993
591	82620	56941
592	82931	56919
593	83188	56859
594	83390	56761
595	83533	56623
596	83674	56483
597	83819	56347
598	83983	56222
599	84136	56091
600	84280	55953
601	84401	55800
602	84551	55666
603	84686	55522
604	84813	55374
605	84948	55230
606	85093	55093
607	85240	54957
608	85367	54809
609	85491	54658
610	85618	54509
611	85784	54386
612	85916	54241
613	86049	54096
614	86179	53949
615	86317	53808
616	86445	53660
617	86584	53519
618	86744	53391
619	86878	53248
620	87017	53107
621	87148	52961
622	87257	52802
623	87395	52661
624	87513	52508
625	87632	52355
626	87741	52196
627	87859	52044
628	88013	51912
629	88169	51781
630	88313	51644
631	88464	51511
632	88593	51364
633	88697	51204
634	88813	51050
635	88943	50904
636	89043	50742
637	89162	50590
638	89275	50435
639	89395	50284
640	89508	50130
641	89622	49976
642	89728	49818
643	89863	49675
644	89969	49518
645	90079	49362
646	90200	49212
647	90314	49059
648	90429	48907
649	90548	48757
650	90678	48612
651	90798	48463
652	90893	48300
653	91018	48153
654	91145	48008
655	91241	47846
656	91372	47702
657	91500	47557
658	91656	47427
659	91793	47287
660	91922	47143
661	92034	46990
662	92140	46834
663	92265	46688
664	92392	46543
665	92521	46399
666	92655	46258
667	92784	46114
668	92934	45981
669	93053	45832
670	93202	45698
671	93321	45549
672	93499	45429
673	93625	45284
674	93762	45145
675	93913	45011
676	94048	44870
677	94187	44732
678	94304	44582
679	94451	44447
680	94587	44307
681	94740	44175
682	94859	44026
683	94999	43888
684	95098	43731
685	95210	43580
686	95343	43439
687	95456	43288
688	95585	43145
689	95750	43018
690	95899	42883
691	96060	42755
692	96191	42612
693	96312	42466
694	96442	42323
695	96590	42188
696	96728	42049
697	96872	41913
698	97029	41782
699	97143	41633
700	97246	41478
701	97373	41335
702	97514	41197
703	97676	41068
704	97783	40916
705	97921	40777
706	98045	40632
707	98205	40502
708	98356	40369
709	98493	40229
710	98626	40088
711	98757	39946
712	98892	39806
713	99026	39666
714	99149	39521
715	99352	39407
716	99607	39314
717	99821	39205
718	100021	39090
719	100163	38952
720	100327	38822
721	100437	38672
722	100567	38530
723	100721	38396
724	100848	38252
725	100971	38107
726	101121	37972
727	101238	37825
728	101381	37687
729	101498	37540
730	101627	37397
731	101736	37247
732	101857	37102
733	101998	36964
734	102103	36812
735	102230	36669
736	102402	36542
737	102531	36399
738	102654	36255
739	102787	36114
740	102925	35975
741	103065	35836
742	103209	35699
743	103331	35554
744	103470	35416
745	103635	35286
746	103790	35152
747	103910	35007
748	104026	34860
749	104154	34718
750	104278	34574
751	104402	34430
752	104534	34289
753	104674	34151
754	104827	34016
755	104983	33883
756	105113	33741
757	105239	33599
758	105352	33451
759	105483	33310
760	105614	33169
761	105738	33026
762	105851	32879
763	105981	32737
764	106117	32598
765	106264	32461
766	106399	32322
767	106527	32180
768	106675	32044
769	106804	31902
770	106920	31757
771	107064	31620
772	107196	31479
773	107319	31336
774	107434	31190
775	107584	31055
776	107749	30924
777	107877	30782
778	108005	30640
779	108134	30499
780	108312	30371
781	108447	30232
782	108570	30089
783	108701	29948
784	108811	29801
785	108928	29657
786	109075	29520
787	109198	29378
788	109312	29233
789	109462	29097
790	109607	28960
791	109741	28820
792	109863	28678
793	110013	28542
794	110176	28410
795	110294	28266
796	110423	28125
797	110553	27984
798	110667	27840
799	110779	27694
800	110889	27549
801	111008	27406
802	111139	27265
803	111277	27127
804	111423	26990
805	111538	26846
806	111686	26710
807	111830	26573
808	111956	26432
809	112077	26289
810	112204	26148
811	112324	26006
812	112453	25865
813	112598	25728
814	112737	25590
815	112874	25452
816	113024	25316
817	113190	25184
818	113305	25040
819	113423	24897
820	113559	24758
821	113671	24615
822	113788	24472
823	113918	24332
824	114052	24192
825	114156	24047
826	114297	23909
827	114423	23769
828	114564	23631
829	114688	23490
830	114866	23360
831	115012	23223
832	115145	23084
833	115270	22943
834	115401	22803
835	115554	22668
836	115685	22528
837	115814	22389
838	115935	22247
839	116067	22108
840	116187	21966
841	116303	21824
842	116448	21687
843	116569	21545
844	116698	21406
845	116827	21266
846	116998	21134
847	117131	20995
848	117278	20858
849	117381	20714
850	117502	20573
